Title;Price;Size;Address;Description;Building Year;Apartment Type;Debt-free Price;Maintenance Charge;Living Area;Rooms;Floor;District;City
Capellanranta 3 E, Kalasatama, Helsinki●2h+avok+kph+lasitettu parveke (yhtiöjärjestyksen mukaan 2h+kt);435 000 €;52,5 m²;Capellanranta 3 E, Kalasatama, Helsinki;2h+avok+kph+lasitettu parveke (yhtiöjärjestyksen mukaan 2h+kt);2021;Kerrostalo;435 000 €;262,50 € / kk;52,5 m²;2;6 / 8;Kalasatama;Helsinki
Kaljaasi Fortunan katu 1 C, Kalasatama, Helsinki●2h+k+kph+et+las.parv;339 000 €;38 m²;Kaljaasi Fortunan katu 1 C, Kalasatama, Helsinki;2h+k+kph+et+las.parv;2021;Kerrostalo;339 000 €;167,20 € / kk;38 m²;2;4 / 12;Kalasatama;Helsinki
Eläinlääkärinkatu 7 A, Hermanni, Helsinki●2h+avok.+parv.;247 000 €;38 m²;Eläinlääkärinkatu 7 A, Hermanni, Helsinki;2h+avok.+parv.;2014;Kerrostalo;247 000 €;171 € / kk;38 m²;2;1 / 7;Hermanni;Helsinki
Tukkutorinkuja 16 A, Kalasatama, Helsinki●2h+kt;348 000 €;40,5 m²;Tukkutorinkuja 16 A, Kalasatama, Helsinki;2h+kt;2019;Kerrostalo;348 000 €;166,05 € / kk;40,5 m²;2;7 / 8;Kalasatama;Helsinki
Verkkoneula 5 C 70, Kalasatama, Helsinki●2h + kt;38 652 €;44,5 m²;Verkkoneula 5 C 70, Kalasatama, Helsinki;2h + kt;2024;Kerrostalo;N/A;N/A;44,5 m²;2;4 / 10;Kalasatama;Helsinki
Vanha talvitie 31 A39, Kalasatama, Helsinki●1h+kph;378 200 €;61 m²;Vanha talvitie 31 A39, Kalasatama, Helsinki;1h+kph;2024;Kerrostalo;378 200 €;N/A;61 m²;2;6;Kalasatama;Helsinki
Kalasatamankatu 36 A 10, Kalasatama, Helsinki●2h+kt;240 000 €;40,5 m²;Kalasatamankatu 36 A 10, Kalasatama, Helsinki;2h+kt;2024;Kerrostalo;240 000 €;N/A;40,5 m²;2;4 / 6;Kalasatama;Helsinki
Vanha talvitie 31 A23, Kalasatama, Helsinki●1h+kph;369 000 €;61,5 m²;Vanha talvitie 31 A23, Kalasatama, Helsinki;1h+kph;2024;Kerrostalo;369 000 €;N/A;61,5 m²;2;4;Kalasatama;Helsinki
Verkkosaarenranta 2 A 11, Kalasatama, Helsinki●2h + avok + p;338 350 €;45 m²;Verkkosaarenranta 2 A 11, Kalasatama, Helsinki;2h + avok + p;2025;Kerrostalo;338 350 €;N/A;45 m²;2;3 / 6;Kalasatama;Helsinki
Verkkosaarenkatu 12 A 14, Kalasatama, Helsinki;442 000 €;52 m²;Verkkosaarenkatu 12 A 14, Kalasatama, Helsinki;N/A;2024;Kerrostalo;442 000 €;N/A;52 m²;2;4 / 6;Kalasatama;Helsinki
